0,1,2,3,4,5,6,7,8
0.07068426,0.07068426,0.26391956,0.45715487,0.65039015,0.76692677,0.8834634,1.0,1.0
0.0,0.0,0.13202575,0.2640515,0.39607725,0.5521562,0.7082352,0.8643142,0.8643142
0.0,0.0,0.07333145,0.1466629,0.21999435,0.27355027,0.3271062,0.3806621,0.3806621
