Water,Protein,Total lipid (fat),"Carbohydrate, by difference","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Copper, Cu","Manganese, Mn","Selenium, Se","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B-6,"Folate, total",Vitamin B-12,"Vitamin A, RAE",Cholesterol,"Fatty acids, total saturated","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated"
11.75,22.53,1.06,61.29,83.0,6.69,138.0,406.0,1359.0,12.0,2.79,0.699,1.111,3.2,4.5,0.608,0.215,2.11,0.78,0.397,394.0,0.0,0.0,0.0,0.154,0.082,0.586
11.9,25.33,0.45,58.33,131.0,8.7,138.0,406.0,1346.0,13.0,2.66,1.0,1.109,3.2,4.5,0.39,0.24,2.106,0.779,0.396,393.0,0.0,0.0,0.0,0.065,0.035,0.249
12.1,22.33,1.5,60.75,147.0,5.49,175.0,407.0,1185.0,5.0,3.65,0.834,1.418,11.0,0.0,0.775,0.164,2.188,0.744,0.428,364.0,0.0,0.0,0.0,0.17,0.128,0.873
79.15,6.15,0.7,13.05,15.0,1.93,101.0,100.0,307.0,13.0,0.89,0.356,0.408,0.6,18.8,0.39,0.215,1.22,0.825,0.191,132.0,0.0,0.0,0.0,0.085,0.052,0.407
10.06,20.96,1.13,64.19,130.0,6.77,182.0,415.0,1464.0,8.0,2.55,0.81,1.376,13.0,0.0,0.772,0.192,1.892,0.997,0.527,463.0,0.0,0.0,0.0,0.292,0.098,0.487
11.33,21.42,1.23,62.55,113.0,5.07,176.0,411.0,1393.0,12.0,2.28,0.893,1.148,27.9,6.3,0.713,0.212,1.174,0.785,0.474,525.0,0.0,0.0,0.0,0.235,0.229,0.407
81.3,5.25,0.9,11.6,43.0,1.97,53.0,94.0,307.0,153.0,0.5,0.32,0.366,0.6,21.7,0.23,0.175,2.28,0.74,0.171,118.0,0.0,0.0,0.0,0.109,0.067,0.523
11.71,21.11,1.18,62.25,173.0,7.73,183.0,445.0,1542.0,12.0,2.81,0.635,1.278,12.8,0.0,0.743,0.207,1.342,0.729,0.439,386.0,0.0,0.0,0.0,0.304,0.102,0.507
90.27,1.82,0.12,7.13,37.0,1.04,25.0,38.0,209.0,6.0,0.24,0.069,0.214,0.6,16.3,0.084,0.105,0.752,0.094,0.074,37.0,0.0,0.0,0.0,0.026,0.005,0.059
11.32,23.36,0.85,60.27,240.0,10.44,190.0,301.0,1795.0,16.0,3.67,0.984,1.796,12.8,0.0,0.437,0.146,0.479,0.732,0.318,388.0,0.0,0.0,0.0,0.219,0.074,0.364
11.1,22.0,2.6,60.7,166.0,7.01,222.0,488.0,1042.0,12.0,2.83,0.639,1.286,12.8,0.0,0.69,0.33,2.43,0.734,0.442,389.0,0.0,0.0,0.0,0.671,0.226,1.118
91.02,2.2,0.13,4.33,117.0,2.57,70.0,41.0,762.0,226.0,0.38,0.191,0.391,0.9,30.0,0.1,0.22,0.4,0.25,0.106,15.0,0.0,316.0,0.0,0.02,0.026,0.046
87.58,1.61,0.17,9.56,16.0,0.8,23.0,40.0,325.0,78.0,0.35,0.075,0.329,0.7,4.9,0.031,0.04,0.334,0.155,0.067,109.0,0.0,2.0,0.0,0.027,0.032,0.06
93.0,1.8,0.7,3.06,93.0,3.3,52.0,53.0,470.0,80.0,0.2,0.13,0.349,0.9,35.0,0.06,0.15,0.9,0.041,0.084,13.0,0.0,210.0,0.0,0.17,0.211,0.109
10.98,26.12,1.53,58.29,103.0,6.7,192.0,421.0,1062.0,13.0,3.14,0.824,1.626,8.2,1.4,0.555,0.333,2.832,0.976,0.366,423.0,0.0,3.0,0.0,0.254,0.303,0.627
81.0,5.6,0.6,11.7,22.0,1.9,38.0,95.0,250.0,50.0,0.58,0.074,0.32,1.2,33.0,0.17,0.11,1.5,0.086,0.038,96.0,0.0,18.0,0.0,0.138,0.017,0.31
92.55,3.17,0.49,2.85,108.0,2.14,22.0,73.0,196.0,33.0,0.77,0.042,0.395,1.0,20.2,0.162,0.129,1.221,0.322,0.171,83.0,0.0,131.0,0.0,0.083,0.044,0.218
92.55,1.2,0.76,4.67,105.0,0.59,19.0,43.0,274.0,7.0,0.41,0.064,0.0,1.4,29.6,0.1,0.153,0.459,0.0,0.074,104.0,0.0,86.0,0.0,0.116,0.053,0.347
86.0,3.38,0.3,8.95,42.0,1.4,23.0,69.0,389.0,25.0,0.42,0.07,0.337,1.6,85.0,0.139,0.09,0.745,0.309,0.219,61.0,0.0,38.0,0.0,0.062,0.023,0.153
80.09,1.53,0.15,17.34,41.0,0.8,38.0,51.0,308.0,5.0,0.33,0.077,0.232,0.7,3.0,0.01,0.03,0.3,0.321,0.24,23.0,0.0,0.0,0.0,0.025,0.037,0.059
94.5,0.39,0.04,3.61,103.0,0.1,14.0,12.0,655.0,7.0,0.16,0.103,0.274,0.9,31.5,0.02,0.02,0.2,0.032,0.096,10.0,0.0,3.0,0.0,0.0,0.0,0.0
95.32,1.5,0.2,2.18,105.0,0.8,19.0,37.0,252.0,65.0,0.19,0.021,0.159,0.5,45.0,0.04,0.07,0.5,0.088,0.194,66.0,0.0,223.0,0.0,0.027,0.015,0.096
90.39,1.43,0.16,7.37,45.0,0.8,16.0,30.0,243.0,27.0,0.22,0.017,0.243,0.6,57.0,0.064,0.069,0.418,0.147,0.209,18.0,0.0,56.0,0.0,0.021,0.012,0.08
