Water,Protein,Total lipid (fat),"Carbohydrate, by difference","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Copper, Cu","Manganese, Mn","Selenium, Se","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B-6,"Folate, total",Vitamin B-12,"Vitamin A, RAE",Cholesterol,"Fatty acids, total saturated","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated"
10.59,21.7,1.49,62.78,130.0,5.23,183.0,367.0,1392.0,17.0,2.76,1.057,1.791,8.2,0.0,0.643,0.187,2.965,1.266,0.283,456.0,0.0,1.0,0.0,0.33,0.012,0.814
65.88,7.2,1.64,23.88,42.0,1.6,68.0,127.0,552.0,5.0,1.04,0.134,0.574,1.5,39.0,0.4,0.17,2.2,0.68,0.068,173.0,0.0,3.0,0.0,0.354,0.013,0.873
61.1,1.25,0.07,36.66,2.0,0.75,41.0,31.0,431.0,2.0,0.18,0.116,0.109,0.0,20.2,0.1,0.1,0.55,0.53,0.07,28.0,0.0,0.0,0.0,0.121,0.019,0.031
91.6,2.6,0.4,3.7,53.0,1.7,18.0,44.0,242.0,23.0,0.24,0.157,0.418,0.9,136.0,0.08,0.33,1.2,0.049,0.146,16.0,0.0,435.0,0.0,0.0,0.0,0.0
79.25,2.05,0.09,17.49,12.0,0.81,23.0,57.0,425.0,6.0,0.3,0.11,0.153,0.4,19.7,0.081,0.032,1.061,0.295,0.298,15.0,0.0,0.0,0.0,0.025,0.002,0.042
83.29,2.57,0.1,12.44,30.0,3.24,23.0,38.0,413.0,10.0,0.35,0.423,0.602,0.3,11.4,0.021,0.038,1.033,0.302,0.239,17.0,0.0,0.0,0.0,0.026,0.002,0.043
60.69,2.62,0.36,35.67,130.0,1.27,63.0,31.0,156.0,5.0,0.37,0.053,0.266,14.7,5.5,0.178,0.09,1.071,0.0,0.47,10.0,0.0,0.0,0.0,0.0,0.0,0.0
95.15,1.03,0.07,3.28,39.0,0.7,24.0,49.0,173.0,5.0,0.0,0.0,0.0,0.7,28.0,0.042,0.075,0.69,0.0,0.0,59.0,0.0,97.0,0.0,0.036,0.009,0.004
92.88,3.15,0.4,2.33,39.0,2.22,38.0,104.0,436.0,11.0,0.2,0.133,0.355,0.9,11.0,0.094,0.128,0.92,0.042,0.207,36.0,0.0,97.0,0.0,0.207,0.052,0.022
91.6,1.0,0.1,6.5,21.0,0.8,12.0,44.0,340.0,1.0,0.32,0.127,0.125,0.3,9.0,0.05,0.11,0.6,0.298,0.061,16.0,0.0,426.0,0.0,0.052,0.013,0.005
92.86,2.03,0.36,3.39,65.0,1.99,68.0,44.0,494.0,45.0,0.17,0.113,0.303,0.9,21.0,0.047,0.112,0.48,0.036,0.073,12.0,0.0,0.0,0.0,0.0,0.0,0.0
13.28,14.12,6.07,64.16,47.0,4.57,197.0,457.0,563.0,5.0,3.1,0.59,2.033,8.5,0.0,0.36,0.318,1.52,0.772,0.487,184.0,0.0,1.0,0.0,0.706,1.613,3.292
94.62,0.6,0.1,4.1,27.0,0.4,16.0,23.0,227.0,21.0,0.15,0.115,0.038,0.7,22.0,0.02,0.02,0.2,0.138,0.046,28.0,0.0,0.0,0.0,0.03,0.017,0.045
11.91,5.95,0.56,80.18,18.0,0.7,12.0,153.0,30.0,182.0,0.74,0.078,0.498,15.1,0.0,0.031,0.017,0.221,0.051,0.015,3.0,0.0,0.0,0.0,0.153,0.175,0.15
11.8,7.54,3.2,76.25,9.0,1.29,116.0,311.0,250.0,5.0,2.13,0.302,2.853,17.1,0.0,0.541,0.095,6.494,1.065,0.477,23.0,0.0,0.0,0.0,0.591,1.054,1.0
12.37,7.5,2.68,76.17,33.0,1.8,143.0,264.0,268.0,4.0,2.02,0.277,3.743,0.0,0.0,0.413,0.043,4.308,1.493,0.509,20.0,0.0,0.0,0.0,0.536,0.971,0.959
9.82,7.6,2.75,78.68,8.0,1.16,98.0,275.0,219.0,6.0,1.96,0.327,2.975,25.2,0.0,0.277,0.092,4.973,0.895,0.407,14.0,0.0,0.0,0.0,0.481,1.024,0.841
89.43,1.08,0.16,8.62,43.0,0.44,20.0,53.0,305.0,12.0,0.24,0.032,0.131,0.7,25.0,0.09,0.04,0.7,0.16,0.1,21.0,0.0,0.0,0.0,0.027,0.025,0.088
77.0,3.3,0.2,18.6,60.0,0.7,23.0,75.0,380.0,20.0,0.38,0.089,0.268,0.8,8.0,0.08,0.22,0.5,0.371,0.277,26.0,0.0,0.0,0.0,0.0,0.0,0.0
56.27,7.4,5.59,29.24,36.0,3.67,54.0,175.0,941.0,25.0,0.9,1.148,0.142,0.0,6.6,0.482,0.301,0.438,0.877,0.32,53.0,0.0,13.0,0.0,1.509,0.712,2.977
91.58,1.28,0.04,6.73,19.0,0.84,12.0,30.0,184.0,15.0,0.0,0.0,0.0,0.9,73.0,0.083,0.081,0.43,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0
67.5,12.95,6.8,11.05,197.0,3.55,65.0,194.0,620.0,15.0,0.99,0.128,0.547,1.5,29.0,0.435,0.175,1.65,0.147,0.065,165.0,0.0,9.0,0.0,0.786,1.284,3.2
8.54,36.49,19.94,30.16,277.0,15.7,280.0,704.0,1797.0,2.0,4.89,1.658,2.517,17.8,6.0,0.874,0.87,1.623,0.793,0.377,375.0,0.0,1.0,0.0,2.884,4.404,11.255
69.05,13.09,6.7,9.57,67.0,2.1,72.0,164.0,484.0,14.0,1.17,0.427,0.702,0.6,15.3,0.34,0.118,1.148,0.929,0.176,172.0,0.0,1.0,0.0,0.929,1.518,3.783
9.23,21.78,2.23,65.65,39.0,4.15,65.0,163.0,201.0,8.0,1.79,0.278,0.91,0.0,0.0,1.187,0.475,7.654,0.684,0.178,278.0,0.0,0.0,0.0,0.328,0.271,0.986
8.34,13.35,1.57,74.81,58.0,2.13,174.0,332.0,376.0,36.0,2.76,0.499,2.645,63.5,0.0,0.373,0.196,4.55,1.214,0.323,48.0,0.0,23.0,0.0,0.226,0.181,0.641
11.02,14.57,2.43,70.19,27.0,4.44,136.0,401.0,388.0,8.0,3.28,0.511,2.983,11.7,0.0,0.364,0.113,6.843,1.068,0.23,45.0,0.0,0.0,0.0,0.406,0.445,1.258
93.35,0.52,0.2,5.64,9.0,0.17,10.0,12.0,205.0,20.0,0.07,0.017,0.027,0.0,4.5,0.02,0.02,0.17,0.11,0.058,22.0,0.0,0.0,0.0,0.0,0.0,0.0
94.64,1.21,0.18,3.35,15.0,0.35,17.0,38.0,262.0,2.0,0.29,0.051,0.175,0.2,17.0,0.048,0.142,0.487,0.155,0.218,29.0,0.0,10.0,0.0,0.044,0.016,0.089
94.28,1.01,0.27,3.88,21.0,0.44,20.0,32.0,222.0,2.0,0.29,0.092,0.172,0.2,19.3,0.051,0.041,0.448,0.16,0.104,19.0,0.0,8.0,0.0,0.093,0.013,0.082
94.18,1.2,0.2,3.84,19.0,0.4,23.0,36.0,182.0,1.0,0.29,0.102,0.157,0.2,18.0,0.07,0.03,0.6,0.102,0.109,30.0,0.0,11.0,0.0,0.041,0.015,0.084
87.78,0.8,0.1,10.42,33.0,0.7,32.0,36.0,347.0,3.0,0.13,0.065,0.167,0.5,11.0,0.14,0.01,0.7,0.4,0.154,17.0,0.0,18.0,0.0,0.021,0.007,0.042
89.76,0.95,0.13,8.59,28.0,0.58,14.0,23.0,350.0,4.0,0.21,0.071,0.163,0.4,12.3,0.03,0.062,0.5,0.188,0.156,24.0,0.0,68.0,0.0,0.027,0.01,0.056
86.41,1.0,0.1,11.69,48.0,0.7,34.0,33.0,352.0,4.0,0.15,0.072,0.202,0.5,21.0,0.1,0.02,1.2,0.4,0.154,27.0,0.0,532.0,0.0,0.021,0.007,0.042
88.0,2.0,0.5,8.7,14.0,0.4,19.0,21.0,320.0,7.0,0.13,0.064,0.179,0.5,11.0,0.07,0.04,0.5,0.4,0.154,16.0,0.0,68.0,0.0,0.103,0.037,0.21
91.6,0.64,0.57,6.91,23.0,0.31,12.0,12.0,108.0,17.0,0.19,0.037,0.125,0.3,2.1,0.037,0.018,0.95,0.36,0.101,12.0,0.0,6.0,0.0,0.117,0.042,0.239
73.1,5.03,1.02,19.59,18.0,1.83,48.0,113.0,369.0,4.0,0.61,0.186,0.688,0.6,15.1,0.208,0.082,1.587,0.128,0.13,40.0,0.0,15.0,0.0,0.19,0.198,0.489
86.81,2.49,0.51,8.82,78.0,0.97,70.0,81.0,508.0,6.0,0.0,0.0,0.0,0.9,11.0,0.156,0.345,1.13,0.225,0.19,0.0,0.0,189.0,0.0,0.111,0.02,0.228
77.28,1.57,0.05,20.12,30.0,0.61,25.0,47.0,337.0,55.0,0.3,0.151,0.258,0.6,2.4,0.078,0.061,0.557,0.8,0.209,11.0,0.0,709.0,0.0,0.018,0.001,0.014
85.66,4.98,0.74,6.7,107.0,2.25,45.0,60.0,648.0,3.0,0.41,0.27,0.714,0.9,52.0,0.209,0.456,1.513,0.084,0.146,126.0,0.0,241.0,0.0,0.151,0.06,0.307
95.82,0.92,0.09,2.32,12.0,0.6,8.0,28.0,332.0,1.0,0.51,0.088,0.122,0.9,21.0,0.04,0.05,0.8,0.075,0.111,3.0,0.0,3.0,0.0,0.018,0.007,0.037
70.64,1.5,0.2,26.46,43.0,0.55,33.0,84.0,591.0,11.0,0.23,0.172,0.383,0.7,4.5,0.095,0.025,0.6,0.303,0.283,22.0,0.0,4.0,0.0,0.041,0.016,0.083
87.96,2.79,0.97,6.91,129.0,1.3,47.0,45.0,606.0,50.0,0.09,0.071,0.157,0.7,96.0,0.062,0.244,0.995,0.124,0.116,9.0,0.0,102.0,0.0,0.197,0.078,0.4
8.82,13.3,2.38,73.13,180.0,7.63,184.0,429.0,427.0,12.0,3.63,0.81,9.24,4.4,0.0,0.39,0.27,3.363,0.942,0.482,0.0,0.0,0.0,0.0,0.449,0.589,1.071
59.65,20.29,10.8,7.64,111.0,2.7,81.0,266.0,412.0,9.0,1.14,0.56,1.3,0.0,0.0,0.078,0.358,2.64,0.278,0.215,24.0,0.08,0.0,0.0,2.539,3.205,4.3
94.52,0.88,0.2,3.89,10.0,0.27,11.0,24.0,237.0,5.0,0.17,0.059,0.114,0.0,13.7,0.037,0.019,0.594,0.089,0.08,15.0,0.0,42.0,0.0,0.028,0.031,0.083
89.67,1.5,0.3,7.13,190.0,1.1,31.0,42.0,296.0,40.0,0.19,0.35,0.466,1.2,60.0,0.07,0.1,0.6,0.38,0.263,194.0,0.0,579.0,0.0,0.07,0.02,0.12
91.87,0.9,0.1,6.43,30.0,0.3,11.0,27.0,191.0,67.0,0.27,0.085,0.134,0.7,21.0,0.04,0.03,0.4,0.2,0.09,15.0,0.0,0.0,0.0,0.011,0.006,0.053
92.47,2.6,0.2,3.13,77.0,1.67,71.0,39.0,312.0,113.0,0.18,0.023,0.16,0.9,55.0,0.03,0.1,0.9,0.141,0.096,57.0,0.0,315.0,0.0,0.0,0.0,0.0
96.1,0.4,0.2,3.0,19.0,0.4,10.0,19.0,6.0,111.0,0.61,0.023,0.058,0.2,13.0,0.04,0.11,0.4,0.133,0.035,5.0,0.0,0.0,0.0,0.016,0.037,0.087
11.07,14.54,2.13,70.58,22.0,3.77,130.0,364.0,403.0,5.0,3.68,0.506,2.735,81.5,0.0,0.566,0.184,6.375,0.949,0.259,0.0,0.0,1.0,0.0,0.196,0.213,0.621
7.76,14.73,1.08,74.9,21.0,1.96,177.0,433.0,427.0,7.0,5.96,0.524,1.329,2.8,0.0,0.115,0.262,6.733,1.074,0.391,95.0,0.0,1.0,0.0,0.156,0.159,0.676
87.04,6.95,0.87,4.31,84.0,1.5,34.0,37.0,223.0,4.0,0.39,0.051,0.218,1.5,18.3,0.14,0.1,0.9,0.059,0.113,66.0,0.0,0.0,0.0,0.238,0.25,0.186
8.34,29.65,16.32,41.71,440.0,13.44,179.0,451.0,977.0,38.0,4.48,2.88,3.721,8.2,0.0,1.03,0.45,3.09,0.795,0.175,45.0,0.0,0.0,0.0,2.303,6.012,4.33
69.6,1.53,0.17,27.88,17.0,0.54,21.0,55.0,816.0,9.0,0.24,0.178,0.397,0.7,17.1,0.112,0.032,0.552,0.314,0.293,23.0,0.0,7.0,0.0,0.037,0.006,0.076
90.07,0.72,0.09,8.82,12.0,0.6,12.0,18.0,150.0,4.0,0.16,0.048,0.06,0.7,20.2,0.02,0.029,0.2,0.135,0.042,12.0,0.0,1.0,0.0,0.021,0.005,0.043
87.85,2.8,0.4,8.35,50.0,0.47,44.0,59.0,240.0,4.0,0.37,0.048,0.205,1.5,18.8,0.107,0.11,0.41,0.055,0.024,62.0,0.0,43.0,0.0,0.105,0.036,0.169
8.43,24.33,1.31,61.91,138.0,8.61,338.0,559.0,1157.0,17.0,3.5,0.879,1.59,8.2,1.6,0.887,0.235,2.158,1.556,0.371,658.0,0.0,3.0,0.0,0.339,0.114,0.565
