"Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,"Vitamin A, RAE"
232.0,0.47,27.0,25.0,213.0,17.0,0.21,35.3,0.054,0.13,0.742,0.165,251.0
2.0,0.52,37.0,89.0,270.0,15.0,0.45,6.8,0.2,0.06,1.7,0.055,0.0
2.0,0.52,37.0,89.0,270.0,15.0,0.46,6.8,0.155,0.055,1.77,0.093,9.0
126.0,1.1,51.0,53.0,431.0,4.0,1.01,2.5,0.11,0.145,1.45,0.067,41.0
85.0,9.95,333.0,438.0,1375.0,58.0,6.11,1.5,0.68,0.17,2.795,0.361,2.0
110.0,8.27,184.0,424.0,1112.0,16.0,3.37,1.5,0.853,0.226,2.075,0.357,3.0
63.0,1.92,43.0,9.0,455.0,7.0,0.29,36.0,0.354,0.175,1.12,0.177,36.0
65.0,1.0,58.0,65.0,215.0,4.0,0.34,33.0,0.15,0.14,1.2,0.173,68.0
81.0,1.3,38.0,76.0,606.0,14.0,0.23,69.0,0.08,0.26,1.0,0.247,346.0
187.0,3.1,36.0,66.0,397.0,76.0,0.41,35.0,0.19,0.26,0.806,0.251,508.0
44.0,2.4,103.0,63.0,390.0,4.0,0.2,48.0,0.04,0.1,0.5,0.122,200.0
185.0,4.0,42.0,112.0,337.0,9.0,0.6,51.7,0.257,0.66,2.22,1.2,378.0
30.0,0.36,45.0,50.0,461.0,42.0,0.45,141.0,0.053,0.074,0.62,0.12,4.0
20.0,0.36,14.0,32.0,139.0,3.0,0.07,12.0,0.05,0.06,0.4,0.043,0.0
26.0,0.2,11.0,13.0,150.0,2.0,0.7,10.1,0.029,0.022,0.32,0.04,0.0
18.0,0.26,22.0,40.0,417.0,2.0,0.23,228.3,0.067,0.04,1.084,0.11,31.0
130.0,5.1,283.0,372.0,1235.0,21.0,9.3,0.0,1.13,0.136,1.61,0.155,0.0
50.0,0.74,40.0,49.0,252.0,2.0,0.37,12.9,0.077,0.092,0.52,0.024,43.0
208.0,4.76,64.0,83.0,559.0,8.0,0.79,37.0,0.133,0.546,1.26,0.6,278.0
254.0,1.6,33.0,55.0,348.0,53.0,0.39,93.4,0.113,0.347,1.18,0.147,241.0
24.0,0.4,19.0,46.0,350.0,20.0,0.03,62.0,0.05,0.02,0.4,0.15,2.0
59.0,2.1,28.0,35.0,180.0,20.0,0.12,12.0,0.06,0.03,0.4,0.233,83.0
35.0,6.51,47.0,281.0,677.0,6.0,3.27,4.5,0.873,0.211,2.605,0.54,2.0
25.0,3.21,37.0,173.0,322.0,11.0,1.51,16.5,0.228,0.128,1.128,0.19,2.0
34.0,3.14,58.0,136.0,467.0,8.0,0.78,23.4,0.217,0.103,1.474,0.204,10.0
81.0,7.51,224.0,385.0,1724.0,18.0,2.83,0.0,0.507,0.202,1.537,0.512,0.0
81.0,6.19,188.0,370.0,1403.0,13.0,2.6,0.0,0.574,0.218,1.712,0.327,0.0
45.0,1.16,23.0,100.0,556.0,40.0,0.39,44.0,0.16,0.22,0.4,0.258,0.0
176.0,4.36,198.0,440.0,1013.0,15.0,4.75,4.8,0.64,0.22,2.19,0.357,0.0
8.0,3.01,114.0,285.0,195.0,5.0,1.68,0.0,0.421,0.29,4.72,0.384,0.0
150.0,10.85,381.0,489.0,1191.0,30.0,1.92,4.0,0.562,0.091,2.8,0.366,2.0
26.0,0.44,12.0,34.0,418.0,13.0,0.27,2.6,0.102,0.019,0.481,0.179,0.0
132.0,6.74,189.0,367.0,1246.0,15.0,2.68,4.8,0.621,0.233,2.251,0.382,6.0
13.0,0.91,21.0,54.0,149.0,6.0,0.41,13.2,0.084,0.124,0.749,0.088,1.0
138.0,7.57,267.0,379.0,983.0,38.0,3.35,0.0,0.273,0.254,1.447,0.281,1.0
2.0,0.41,20.0,112.0,304.0,9.0,1.03,0.0,0.015,0.217,3.877,0.293,0.0
3.0,0.5,9.0,86.0,318.0,5.0,0.52,2.1,0.081,0.402,3.607,0.104,0.0
115.0,1.64,32.0,58.0,384.0,20.0,0.25,70.0,0.08,0.11,0.8,0.18,151.0
210.0,1.5,11.0,28.0,449.0,21.0,0.17,130.0,0.068,0.093,0.678,0.153,495.0
58.0,0.8,39.0,28.0,130.0,130.0,0.38,30.0,0.04,0.13,0.5,0.304,0.0
35.0,2.7,95.0,254.0,252.0,792.0,1.71,0.0,0.48,0.13,3.21,0.24,0.0
23.0,1.32,28.0,80.0,164.0,1840.0,0.45,0.0,0.101,0.026,0.875,0.05,0.0
164.0,0.59,52.0,16.0,257.0,21.0,0.25,9.3,0.012,0.041,0.41,0.07,23.0
18.0,1.41,84.0,96.0,447.0,3.0,0.87,36.0,0.16,0.18,0.8,0.41,10.0
19.0,0.94,30.0,38.0,484.0,2.0,0.49,40.2,0.144,0.016,1.102,0.352,1.0
31.0,1.45,49.0,72.0,329.0,14.0,1.1,26.3,0.344,0.163,1.5,0.283,2.0
58.0,5.41,235.0,734.0,566.0,4.0,3.11,0.0,1.17,0.22,0.934,0.165,0.0
82.0,0.62,57.0,61.0,299.0,7.0,0.58,23.0,0.2,0.06,1.0,0.215,36.0
23.0,0.21,10.0,29.0,146.0,4.0,0.17,7.4,0.046,0.027,0.116,0.12,0.0
36.0,0.59,29.0,71.0,375.0,10.0,0.59,17.0,0.09,0.05,0.7,0.09,0.0
21.0,3.3,53.0,189.0,223.0,6.0,1.41,0.0,0.891,0.4,7.177,0.142,0.0
21.0,1.3,53.0,189.0,223.0,6.0,1.41,0.0,0.09,0.06,1.7,0.142,0.0
15.0,3.35,46.0,163.0,179.0,26.0,1.22,0.0,0.705,0.439,3.35,0.093,14.0
43.0,3.3,63.0,148.0,272.0,27.0,1.4,0.0,0.609,0.398,3.46,0.315,25.0
4.0,0.93,119.0,253.0,294.0,3.0,1.79,0.0,0.231,0.087,2.43,0.206,9.0
27.0,3.33,104.0,287.0,366.0,11.0,2.4,0.0,0.371,0.193,7.948,0.28,0.0
43.0,2.08,24.0,53.0,200.0,4.0,0.27,60.0,0.15,0.08,0.6,0.16,54.0
25.0,1.47,33.0,108.0,244.0,5.0,1.24,40.0,0.266,0.132,2.09,0.169,38.0
36.0,2.26,56.0,165.0,381.0,20.0,1.05,10.4,0.225,0.155,3.088,0.265,0.0
46.0,4.73,63.0,334.0,852.0,5.0,3.49,1.8,0.719,0.244,3.608,0.14,7.0
10.0,0.34,10.0,20.0,175.0,3.0,0.13,80.4,0.057,0.028,0.48,0.224,18.0
