"Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,"Vitamin A, RAE"
15.2,0.3515,17.099999999999998,32.3,221.85,7.6,0.304,9.845,0.036,0.08460000000000001,0.38335,0.13855,9.6
35.15,0.9784999999999999,23.75,32.3,179.35,5.699999999999999,0.22799999999999998,6.71,0.0656,0.0936,0.6239,0.11984999999999998,33.6
73.14999999999999,0.2945,12.35,24.65,202.29999999999998,8.549999999999999,0.2185,14.850000000000001,0.032,0.045000000000000005,0.34,0.19720000000000001,15.36
31.349999999999998,0.285,11.399999999999999,29.75,81.6,65.55,0.22799999999999998,3.2450000000000006,0.05280000000000001,0.0522,0.83555,0.1173,801.6
44.65,0.6935,19.95,56.1,268.59999999999997,31.349999999999998,0.38949999999999996,49.06,0.056799999999999996,0.1053,0.54315,0.14875,29.759999999999998
94.05,2.5745,75.05,41.65,474.3,75.05,0.5035,15.455000000000002,0.062400000000000004,0.1701,0.6154,0.16575,450.24
38.0,0.44649999999999995,11.399999999999999,22.099999999999998,144.5,17.099999999999998,0.17099999999999999,20.130000000000003,0.0488,0.036000000000000004,0.1989,0.1054,4.8
48.449999999999996,1.71,76.95,39.1,322.15,202.35,0.34199999999999997,9.075000000000001,0.032,0.0729,0.34,0.08415,293.76
396.15,1.71,52.25,6.6499999999999995,120.64999999999999,13.299999999999999,0.1425,3.2,0.023200000000000002,0.03705,0.1539,0.05225,1.9
204.25,2.2039999999999997,52.25,42.5,519.35,19.0,0.855,23.815,0.0216,0.1422,0.5593,0.1632,140.16
4.75,0.07,4.0,11.0,81.0,0.0,0.05,3.2,0.0152,0.0266,0.0819,0.035149999999999994,1.9
9.5,2.4414999999999996,48.449999999999996,147.9,783.6999999999999,20.9,0.266,0.6050000000000001,0.136,0.0657,1.4024999999999999,0.221,0.0
41.8,1.216,54.15,76.5,314.5,89.3,0.46549999999999997,6.4350000000000005,0.0576,0.0594,0.8891,0.09860000000000001,0.96
22.799999999999997,2.033,13.299999999999999,44.199999999999996,171.7,1.9,0.513,3.08,0.1144,0.12689999999999999,0.8312999999999999,0.07735,36.48
