"Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,"Vitamin A, RAE"
2.0,0.55,31.0,92.0,252.0,3.0,0.54,6.2,0.09,0.053,1.666,0.127,0.0
3.0,0.45,26.0,77.0,218.0,1.0,0.62,5.5,0.093,0.057,1.683,0.139,13.0
128.0,1.12,52.0,51.0,418.0,4.0,1.03,2.2,0.101,0.148,1.403,0.065,40.0
26.0,3.05,96.0,142.0,375.0,19.0,1.87,0.4,0.162,0.046,0.714,0.092,1.0
24.0,2.51,53.0,156.0,278.0,4.0,1.29,0.4,0.202,0.055,0.495,0.1,1.0
69.0,1.09,62.0,42.0,351.0,6.0,0.24,18.4,0.256,0.142,1.008,0.135,29.0
55.0,0.7,41.0,49.0,196.0,3.0,0.24,17.0,0.09,0.09,0.8,0.123,70.0
61.0,0.8,26.0,48.0,353.0,8.0,0.15,23.0,0.06,0.16,0.8,0.157,232.0
140.0,1.8,24.0,42.0,232.0,44.0,0.28,18.0,0.13,0.175,0.514,0.16,342.0
38.0,2.08,89.0,52.0,321.0,3.0,0.17,26.3,0.034,0.086,0.411,0.1,174.0
151.0,2.32,34.0,67.0,344.0,9.0,0.49,31.0,0.222,0.509,1.995,0.929,351.0
20.0,0.45,42.0,49.0,457.0,43.0,0.42,97.0,0.046,0.068,0.59,0.112,4.0
9.0,0.36,20.0,31.0,453.0,21.0,0.17,5.7,0.046,0.042,0.26,0.099,0.0
24.0,0.25,11.0,13.0,170.0,2.0,0.7,8.5,0.029,0.022,0.39,0.038,0.0
7.0,0.18,7.0,11.0,225.0,4.0,0.17,146.4,0.026,0.013,0.42,0.09,14.0
40.0,4.58,82.0,120.0,337.0,7.0,2.85,0.0,0.27,0.037,0.411,0.037,0.0
41.0,0.76,42.0,49.0,262.0,2.0,0.38,5.1,0.056,0.088,0.48,0.023,7.0
