"Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,"Vitamin A, RAE"
14.0,2.48,12.0,211.0,284.0,44.0,3.2,0.0,0.053,0.312,4.705,0.607,5.0
14.0,2.52,12.0,208.0,279.0,44.0,3.21,0.0,0.05,0.3,4.461,0.601,3.0
14.0,2.46,12.0,219.0,294.0,42.0,3.32,0.0,0.056,0.329,5.072,0.614,4.0
13.0,2.5,12.0,215.0,289.0,44.0,3.26,0.0,0.053,0.318,4.755,0.615,2.0
13.0,2.55,12.0,212.0,284.0,45.0,3.27,0.0,0.053,0.307,4.508,0.61,2.0
14.0,2.48,13.0,222.0,298.0,42.0,3.37,0.0,0.057,0.335,5.125,0.622,2.0
14.0,2.48,13.0,222.0,298.0,42.0,3.37,0.0,0.057,0.335,5.125,0.622,2.0
14.0,2.49,12.0,212.0,285.0,44.0,3.22,0.0,0.053,0.313,4.717,0.609,3.0
14.0,2.53,12.0,209.0,280.0,44.0,3.22,0.0,0.05,0.302,4.473,0.603,3.0
14.0,2.47,12.0,219.0,295.0,42.0,3.33,0.0,0.057,0.33,5.082,0.616,4.0
13.0,2.5,12.0,215.0,289.0,44.0,3.26,0.0,0.053,0.318,4.755,0.615,2.0
13.0,2.55,12.0,212.0,284.0,45.0,3.27,0.0,0.05,0.307,4.508,0.61,0.0
14.0,2.48,13.0,222.0,298.0,42.0,3.37,0.0,0.057,0.335,5.125,0.622,2.0
15.0,1.83,11.0,200.0,273.0,45.0,3.57,0.0,0.055,0.203,6.515,0.563,4.0
15.0,1.91,11.0,198.0,271.0,45.0,3.62,0.0,0.052,0.197,6.681,0.57,4.0
14.0,1.73,12.0,204.0,279.0,46.0,3.52,0.0,0.059,0.213,6.267,0.552,4.0
15.0,1.84,12.0,207.0,284.0,46.0,3.72,0.0,0.056,0.211,6.742,0.578,2.0
15.0,1.93,11.0,205.0,283.0,46.0,3.79,0.0,0.053,0.205,6.947,0.589,2.0
14.0,1.73,12.0,210.0,288.0,47.0,3.64,0.0,0.06,0.22,6.435,0.563,2.0
16.0,1.8,11.0,188.0,254.0,44.0,3.29,0.0,0.052,0.189,6.123,0.535,4.0
16.0,1.88,10.0,187.0,253.0,44.0,3.35,0.0,0.049,0.184,6.286,0.543,4.0
15.0,1.71,11.0,191.0,258.0,45.0,3.24,0.0,0.056,0.197,5.879,0.523,4.0
15.0,1.84,12.0,207.0,284.0,46.0,3.72,0.0,0.056,0.211,6.742,0.578,2.0
15.0,1.93,11.0,205.0,283.0,46.0,3.79,0.0,0.053,0.205,6.947,0.589,2.0
14.0,1.73,12.0,210.0,288.0,47.0,3.64,0.0,0.06,0.22,6.435,0.563,2.0
23.0,1.47,21.0,189.0,313.0,52.0,3.45,0.0,0.074,0.112,5.502,0.569,0.0
6.0,2.41,22.0,192.0,326.0,80.0,7.12,0.0,0.084,0.224,3.588,0.399,4.0
6.0,2.4,22.0,191.0,325.0,80.0,7.09,0.0,0.083,0.222,3.552,0.395,4.0
7.0,2.74,24.0,207.0,339.0,78.0,7.82,0.0,0.145,0.267,3.63,0.371,4.0
5.0,2.0,25.0,220.0,375.0,55.0,5.3,0.0,0.075,0.182,5.048,0.543,2.0
5.0,2.08,24.0,206.0,367.0,60.0,4.82,0.0,0.059,0.169,5.438,0.61,2.0
5.0,1.98,24.0,213.0,355.0,52.0,5.57,0.0,0.068,0.205,5.356,0.539,2.0
4.0,1.97,22.0,183.0,313.0,54.0,3.46,0.0,0.051,0.105,3.01,0.315,6.0
4.0,2.06,22.0,190.0,325.0,55.0,3.63,0.0,0.048,0.109,3.142,0.331,6.0
5.0,1.91,18.0,161.0,297.0,43.0,3.32,0.0,0.07,0.072,3.015,0.254,15.0
3.0,2.09,20.0,174.0,319.0,45.0,3.66,0.0,0.071,0.076,3.257,0.28,17.0
4.0,1.37,21.0,189.0,346.0,39.0,2.72,0.0,0.039,0.069,3.431,0.323,7.0
3.0,1.39,22.0,192.0,352.0,40.0,2.78,0.0,0.037,0.07,3.494,0.329,7.0
15.0,1.82,20.0,184.0,337.0,54.0,3.95,0.0,0.03,0.09,4.306,0.255,8.0
6.0,1.71,20.0,145.0,262.0,64.0,5.99,0.0,0.055,0.289,5.241,0.421,4.0
6.0,1.7,20.0,144.0,254.0,65.0,5.97,0.0,0.053,0.275,5.076,0.422,4.0
6.0,1.73,21.0,149.0,283.0,65.0,6.2,0.0,0.058,0.31,5.49,0.42,4.0
6.0,1.75,21.0,151.0,272.0,66.0,6.26,0.0,0.058,0.299,5.439,0.438,2.0
6.0,1.74,21.0,150.0,264.0,67.0,6.25,0.0,0.055,0.285,5.282,0.44,2.0
6.0,1.76,22.0,154.0,292.0,66.0,6.44,0.0,0.06,0.32,5.675,0.435,2.0
6.0,3.42,19.0,142.0,242.0,65.0,4.72,0.0,0.104,0.556,4.092,0.385,4.0
6.0,3.35,19.0,140.0,240.0,65.0,4.51,0.0,0.103,0.562,4.043,0.374,4.0
6.0,3.63,20.0,147.0,251.0,63.0,5.13,0.0,0.105,0.548,4.166,0.4,5.0
5.0,3.6,20.0,148.0,253.0,67.0,4.95,0.0,0.11,0.588,4.251,0.402,2.0
5.0,3.53,20.0,147.0,251.0,68.0,4.74,0.0,0.11,0.597,4.212,0.392,2.0
6.0,3.8,21.0,153.0,260.0,65.0,5.36,0.0,0.11,0.575,4.31,0.417,3.0
5.0,0.37,28.0,213.0,334.0,45.0,0.68,0.0,0.094,0.177,9.6,0.811,9.0
21.0,1.42,20.0,154.0,210.0,87.0,2.25,0.0,0.061,0.195,6.718,0.27,105.0
24.0,1.39,22.0,165.0,237.0,96.0,2.65,0.0,0.068,0.217,7.069,0.34,0.0
14.0,1.07,27.0,214.0,245.0,71.0,1.02,0.0,0.066,0.119,12.71,0.56,28.0
15.0,1.04,29.0,228.0,256.0,74.0,1.0,0.0,0.07,0.114,13.712,0.6,6.0
11.0,1.14,22.0,200.0,256.0,128.0,2.56,0.0,0.098,0.222,5.598,0.407,6.0
15.0,1.36,22.0,168.0,220.0,87.0,2.49,0.0,0.066,0.207,6.359,0.31,60.0
15.0,1.33,23.0,179.0,240.0,93.0,2.8,0.0,0.073,0.227,6.548,0.36,22.0
11.0,1.11,22.0,195.0,247.0,123.0,2.36,0.0,0.093,0.203,5.403,0.383,12.0
9.0,0.69,19.0,155.0,203.0,84.0,1.47,0.2,0.073,0.141,4.733,0.318,28.0
10.0,0.78,23.0,180.0,238.0,96.0,1.76,0.0,0.087,0.179,5.578,0.406,10.0
