Nutrient,Avg,StdDev
"Calcium, Ca",14.376518218623481,8.744332381807574
"Iron, Fe",2.45744939271255,1.2098768551147314
"Magnesium, Mg",24.61012145748988,11.935658247037159
"Phosphorus, P",212.84615384615384,33.34386950431744
"Potassium, K",325.7408906882591,71.04731667933372
"Sodium, Na",69.94331983805668,16.68347199219518
"Zinc, Zn",5.011538461538462,2.1650627728790144
"Vitamin C, total ascorbic acid",0.41700404858299595,3.1560810981908443
Thiamin,0.09689068825910932,0.06707113226163479
Riboflavin,0.29180566801619434,0.15493400997656323
Niacin,6.106680161943322,1.9476995829902675
Vitamin B-6,0.39568016194331984,0.204332302807719
"Vitamin A, RAE",3.979757085020243,9.734879621318665
