Nutrient,Avg,StdDev
"Calcium, Ca",17.529818520242912,8.218467999655516
"Iron, Fe",1.9234959000000003,0.9360970168662099
"Magnesium, Mg",24.665897336032387,10.564812831761975
"Phosphorus, P",189.58053056680166,24.61299558035894
"Potassium, K",317.72769611336025,76.14512173199265
"Sodium, Na",69.03165798380566,12.317176526250675
"Zinc, Zn",3.4810960968825913,1.7548855313349203
"Vitamin C, total ascorbic acid",1.4684434593198379,5.319769609158546
Thiamin,0.09189615271659919,0.059492115018568895
Riboflavin,0.24514378870850204,0.137294067575939
Niacin,5.759698061538462,1.9186138138374895
Vitamin B-6,0.45238553659514175,0.16974390484549856
"Vitamin A, RAE",4.920446213279351,10.257509089907387
