Nutrient,Avg,StdDev
"Calcium, Ca",11.991093117408905,8.997127004143726
"Iron, Fe",1.3917975708502022,0.7485038759764701
"Magnesium, Mg",13.611943319838057,11.006144305265083
"Phosphorus, P",135.5056680161943,25.735937992005713
"Potassium, K",176.96983805668017,88.01457918758211
"Sodium, Na",34.67004048582996,16.462624989444112
"Zinc, Zn",3.617004048582996,1.5892495275944405
"Vitamin C, total ascorbic acid",0.42137651821862354,2.736023412501309
Thiamin,0.06836963562753035,0.05273216001903579
Riboflavin,0.15541194331983804,0.08888085960620676
Niacin,3.7363303643724692,1.849816613276332
Vitamin B-6,0.21094372469635628,0.10899165847423624
"Vitamin A, RAE",2.687246963562753,7.023270648448819
