loss,mse,val_loss,val_mse,lr
19768.806640625,19768.806640625,4424.36328125,4424.36328125,0.001
11445.1787109375,11445.1787109375,3998.677490234375,3998.677490234375,0.001
8714.6171875,8714.6171875,5088.00830078125,5088.00830078125,0.001
8339.4052734375,8339.4052734375,5857.82373046875,5857.82373046875,0.001
8669.783203125,8669.783203125,5870.92236328125,5870.92236328125,0.001
7540.2861328125,7540.2861328125,3943.017822265625,3943.017822265625,0.0005
6844.037109375,6844.03662109375,3891.244140625,3891.244140625,0.0005
8031.8125,8031.8125,4219.677734375,4219.677734375,0.0005
5288.7373046875,5288.7373046875,5970.2373046875,5970.2373046875,0.0005
6897.99609375,6897.99609375,3738.598876953125,3738.598876953125,0.0005
6333.36962890625,6333.36962890625,8684.20703125,8684.20703125,0.0005
7771.06103515625,7771.06103515625,3667.155029296875,3667.155029296875,0.0005
3894.737060546875,3894.73681640625,7498.62255859375,7498.62255859375,0.0005
5525.5478515625,5525.5478515625,18042.1953125,18042.1953125,0.0005
5662.5517578125,5662.5517578125,5306.8369140625,5306.8369140625,0.0005
6366.18505859375,6366.18505859375,3934.614501953125,3934.614501953125,0.00025
4487.24609375,4487.24609375,6070.4619140625,6070.4619140625,0.00025
8189.96044921875,8189.96044921875,4273.31103515625,4273.31103515625,0.00025
3968.032470703125,3968.032470703125,5852.638671875,5852.638671875,0.000125
5316.4150390625,5316.4150390625,4046.87060546875,4046.87060546875,0.000125
4795.7158203125,4795.7158203125,5177.11181640625,5177.11181640625,0.000125
4787.64697265625,4787.646484375,5189.94580078125,5189.94580078125,6.25e-05
3369.53173828125,3369.53173828125,5726.7490234375,5726.7490234375,6.25e-05
3570.049560546875,3570.049560546875,4425.533203125,4425.533203125,6.25e-05
4380.30712890625,4380.30712890625,4384.5849609375,4384.5849609375,3.125e-05
6665.7412109375,6665.7412109375,3906.5244140625,3906.5244140625,3.125e-05
5944.33154296875,5944.33154296875,4505.1865234375,4505.1865234375,3.125e-05
5455.283203125,5455.283203125,4356.2255859375,4356.2255859375,1.5625e-05
6668.9091796875,6668.9091796875,3982.385009765625,3982.385009765625,1.5625e-05
4441.56787109375,4441.56787109375,4498.42626953125,4498.42626953125,1.5625e-05
4574.8525390625,4574.8525390625,4350.63720703125,4350.63720703125,1e-05
3939.68310546875,3939.68310546875,4377.8427734375,4377.8427734375,1e-05
7521.1103515625,7521.1103515625,4361.4345703125,4361.4345703125,1e-05
4197.5107421875,4197.5107421875,4327.0654296875,4327.0654296875,1e-05
4888.12646484375,4888.12646484375,4181.0205078125,4181.0205078125,1e-05
9274.1142578125,9274.1142578125,3999.445556640625,3999.445556640625,1e-05
4893.4931640625,4893.4931640625,3893.76708984375,3893.76708984375,1e-05
5993.72021484375,5993.72021484375,3855.323974609375,3855.323974609375,1e-05
4905.69970703125,4905.69970703125,4061.0908203125,4061.0908203125,1e-05
5141.69189453125,5141.69189453125,4051.82861328125,4051.82861328125,1e-05
3238.258056640625,3238.258056640625,4003.662353515625,4003.662353515625,1e-05
4503.24462890625,4503.24462890625,4125.3818359375,4125.3818359375,1e-05
4574.56689453125,4574.56689453125,4330.349609375,4330.349609375,1e-05
5624.10546875,5624.10546875,4383.82568359375,4383.82568359375,1e-05
4608.77587890625,4608.77587890625,4737.978515625,4737.978515625,1e-05
5932.0625,5932.06298828125,4675.4921875,4675.4921875,1e-05
3898.286865234375,3898.286865234375,4788.89013671875,4788.89013671875,1e-05
4555.80712890625,4555.80712890625,4704.40625,4704.40625,1e-05
4572.77001953125,4572.77001953125,4576.13671875,4576.13671875,1e-05
3421.43310546875,3421.43310546875,4610.21875,4610.21875,1e-05
5611.0986328125,5611.0986328125,4637.07763671875,4637.07763671875,1e-05
4522.65478515625,4522.654296875,4492.9345703125,4492.9345703125,1e-05
4839.7646484375,4839.7646484375,4587.619140625,4587.619140625,1e-05
5462.79638671875,5462.79638671875,4487.03076171875,4487.03076171875,1e-05
6250.26025390625,6250.26025390625,4559.23974609375,4559.23974609375,1e-05
4241.78662109375,4241.78662109375,4439.66748046875,4439.66748046875,1e-05
6634.453125,6634.453125,4318.830078125,4318.830078125,1e-05
4362.09130859375,4362.09130859375,4255.39013671875,4255.39013671875,1e-05
3400.245361328125,3400.245361328125,4507.5615234375,4507.5615234375,1e-05
3895.97509765625,3895.97509765625,4309.939453125,4309.939453125,1e-05
5575.716796875,5575.716796875,4247.60107421875,4247.60107421875,1e-05
4422.1591796875,4422.15869140625,4430.95068359375,4430.95068359375,1e-05
5077.001953125,5077.001953125,4178.01806640625,4178.01806640625,1e-05
6156.1904296875,6156.1904296875,4192.310546875,4192.310546875,1e-05
3805.5693359375,3805.5693359375,4122.08837890625,4122.08837890625,1e-05
4521.43310546875,4521.43310546875,4367.4892578125,4367.4892578125,1e-05
5695.34912109375,5695.34912109375,4289.18359375,4289.18359375,1e-05
4106.068359375,4106.068359375,4236.82568359375,4236.82568359375,1e-05
4273.60888671875,4273.60888671875,4160.279296875,4160.279296875,1e-05
