loss,mse,val_loss,val_mse,lr
1316.599365234375,1316.599365234375,640.8024291992188,640.8024291992188,0.001
1063.566650390625,1063.566650390625,517.57568359375,517.57568359375,0.001
942.2789916992188,942.2789916992188,338.6759948730469,338.6759948730469,0.001
781.3355712890625,781.3355712890625,192.14817810058594,192.14817810058594,0.001
621.8219604492188,621.8219604492188,147.31866455078125,147.31866455078125,0.001
481.3006591796875,481.30072021484375,114.59854888916016,114.59854888916016,0.001
518.632568359375,518.632568359375,883.392822265625,883.392822265625,0.001
325.64617919921875,325.64617919921875,2017.43115234375,2017.43115234375,0.001
658.2348022460938,658.2348022460938,157.38182067871094,157.38182067871094,0.001
709.186279296875,709.186279296875,474.45794677734375,474.45794677734375,0.0005
471.5205993652344,471.5205383300781,247.30303955078125,247.30303955078125,0.0005
584.8421630859375,584.8421630859375,318.64825439453125,318.64825439453125,0.0005
281.118896484375,281.118896484375,370.8984680175781,370.8984680175781,0.00025
317.40350341796875,317.40350341796875,257.3313293457031,257.3313293457031,0.00025
315.33660888671875,315.33660888671875,305.94610595703125,305.94610595703125,0.00025
333.8614196777344,333.8614196777344,254.62318420410156,254.62318420410156,0.000125
253.14144897460938,253.14144897460938,260.109375,260.109375,0.000125
395.47491455078125,395.47491455078125,617.042236328125,617.042236328125,0.000125
274.650146484375,274.650146484375,360.59295654296875,360.59295654296875,6.25e-05
210.6112518310547,210.6112518310547,381.0468444824219,381.0468444824219,6.25e-05
251.85855102539062,251.85855102539062,275.2059631347656,275.2059631347656,6.25e-05
315.3086242675781,315.3086242675781,345.1758117675781,345.1758117675781,3.125e-05
195.15013122558594,195.15013122558594,313.13922119140625,313.13922119140625,3.125e-05
375.7032470703125,375.7032470703125,317.02752685546875,317.02752685546875,3.125e-05
339.1819763183594,339.1819763183594,331.8896484375,331.8896484375,1.5625e-05
283.3529052734375,283.3529052734375,305.49114990234375,305.49114990234375,1.5625e-05
186.3894500732422,186.3894500732422,297.30084228515625,297.30084228515625,1.5625e-05
399.9150390625,399.9150390625,309.1665954589844,309.1665954589844,1e-05
402.8540344238281,402.8540344238281,313.51812744140625,313.51812744140625,1e-05
355.5242614746094,355.5242614746094,336.5673828125,336.5673828125,1e-05
198.36434936523438,198.36434936523438,347.1470031738281,347.1470031738281,1e-05
349.67620849609375,349.67620849609375,349.91778564453125,349.91778564453125,1e-05
475.1335144042969,475.1335144042969,323.34356689453125,323.34356689453125,1e-05
450.0445861816406,450.0445861816406,324.248046875,324.248046875,1e-05
220.5245819091797,220.5245819091797,296.0750732421875,296.0750732421875,1e-05
315.2751159667969,315.2751159667969,280.3063659667969,280.3063659667969,1e-05
551.917724609375,551.917724609375,289.5461730957031,289.5461730957031,1e-05
289.2066650390625,289.2066650390625,299.459716796875,299.459716796875,1e-05
266.5609130859375,266.5608825683594,320.46868896484375,320.46868896484375,1e-05
200.6459197998047,200.6459197998047,330.5021667480469,330.5021667480469,1e-05
344.4136047363281,344.4136047363281,332.5136413574219,332.5136413574219,1e-05
352.87530517578125,352.87530517578125,314.7226867675781,314.7226867675781,1e-05
320.6385803222656,320.6385803222656,320.8420715332031,320.8420715332031,1e-05
225.91189575195312,225.91192626953125,315.16705322265625,315.16705322265625,1e-05
540.4443969726562,540.4443969726562,310.88787841796875,310.88787841796875,1e-05
158.67811584472656,158.67811584472656,318.5023498535156,318.5023498535156,1e-05
243.66473388671875,243.66473388671875,305.7688293457031,305.7688293457031,1e-05
262.3003234863281,262.3003234863281,313.57708740234375,313.57708740234375,1e-05
192.58120727539062,192.58120727539062,319.29876708984375,319.29876708984375,1e-05
398.61328125,398.61328125,316.8973388671875,316.8973388671875,1e-05
218.57760620117188,218.57760620117188,304.26971435546875,304.26971435546875,1e-05
268.9090576171875,268.9090576171875,281.0597229003906,281.0597229003906,1e-05
309.1125793457031,309.1125793457031,290.829833984375,290.829833984375,1e-05
215.8053436279297,215.8053436279297,326.4884338378906,326.4884338378906,1e-05
280.57830810546875,280.57830810546875,343.5260009765625,343.5260009765625,1e-05
239.60311889648438,239.60311889648438,332.1037292480469,332.1037292480469,1e-05
182.7464599609375,182.7464599609375,343.8409729003906,343.8409729003906,1e-05
178.3392333984375,178.3392333984375,357.93365478515625,357.93365478515625,1e-05
184.82705688476562,184.82705688476562,357.025634765625,357.025634765625,1e-05
303.0400390625,303.0400390625,349.3096923828125,349.3096923828125,1e-05
228.29812622070312,228.29812622070312,352.1206359863281,352.1206359863281,1e-05
274.0753479003906,274.0753479003906,382.44378662109375,382.44378662109375,1e-05
252.10574340820312,252.10574340820312,365.3895263671875,365.3895263671875,1e-05
462.0024719238281,462.00250244140625,374.2496643066406,374.2496643066406,1e-05
206.66990661621094,206.66990661621094,385.6972351074219,385.6972351074219,1e-05
359.3162841796875,359.3162841796875,394.3343200683594,394.3343200683594,1e-05
425.0410461425781,425.0410461425781,399.3564147949219,399.3564147949219,1e-05
332.0411682128906,332.0411682128906,405.365478515625,405.365478515625,1e-05
191.5074462890625,191.5074462890625,361.1888427734375,361.1888427734375,1e-05
328.8751220703125,328.8751220703125,375.9751281738281,375.9751281738281,1e-05
333.38336181640625,333.38336181640625,379.8755187988281,379.8755187988281,1e-05
209.17294311523438,209.17294311523438,369.96966552734375,369.96966552734375,1e-05
205.1171112060547,205.1171112060547,374.2634582519531,374.2634582519531,1e-05
276.5380859375,276.5380859375,350.7157897949219,350.7157897949219,1e-05
279.5262756347656,279.5262756347656,334.0003662109375,334.0003662109375,1e-05
279.0686950683594,279.0686950683594,322.0212707519531,322.0212707519531,1e-05
