loss,mse,val_loss,val_mse,lr
28639.4921875,28639.4921875,1836.0203857421875,1836.0203857421875,0.001
27793.564453125,27793.564453125,2308.631103515625,2308.631103515625,0.001
28028.982421875,28028.982421875,2339.281982421875,2339.281982421875,0.001
27164.212890625,27164.212890625,2354.619384765625,2354.619384765625,0.001
27119.443359375,27119.443359375,2718.775634765625,2718.775634765625,0.0005
5546.16259765625,5546.16259765625,2036.258056640625,2036.258056640625,0.0005
25855.98828125,25855.98828125,2594.85498046875,2594.85498046875,0.0005
25077.90625,25077.90625,2839.770263671875,2839.770263671875,0.00025
28114.970703125,28114.970703125,2635.1201171875,2635.1201171875,0.00025
26001.72265625,26001.72265625,2630.732666015625,2630.732666015625,0.00025
26771.908203125,26771.908203125,2649.390380859375,2649.390380859375,0.000125
24045.6875,24045.6875,2582.7490234375,2582.7490234375,0.000125
25130.484375,25130.484375,2643.57080078125,2643.57080078125,0.000125
22503.810546875,22503.810546875,2747.033935546875,2747.033935546875,6.25e-05
25924.865234375,25924.865234375,2814.497802734375,2814.497802734375,6.25e-05
27256.236328125,27256.236328125,2711.160400390625,2711.160400390625,6.25e-05
25117.533203125,25117.533203125,2724.801025390625,2724.801025390625,3.125e-05
27466.0703125,27466.0703125,2722.566162109375,2722.566162109375,3.125e-05
27220.8984375,27220.8984375,2717.8095703125,2717.8095703125,3.125e-05
25783.853515625,25783.853515625,2729.4912109375,2729.4912109375,1.5625e-05
27779.873046875,27779.873046875,2727.895751953125,2727.895751953125,1.5625e-05
25792.076171875,25792.076171875,2740.040283203125,2740.040283203125,1.5625e-05
25579.30078125,25579.30078125,2748.87841796875,2748.87841796875,1e-05
26995.744140625,26995.744140625,2748.985595703125,2748.985595703125,1e-05
25974.349609375,25974.3515625,2733.375244140625,2733.375244140625,1e-05
24215.318359375,24215.318359375,2753.17626953125,2753.17626953125,1e-05
27351.42578125,27351.42578125,2748.902099609375,2748.902099609375,1e-05
24236.326171875,24236.326171875,2771.8427734375,2771.8427734375,1e-05
25018.158203125,25018.158203125,2775.154541015625,2775.154541015625,1e-05
26783.927734375,26783.927734375,2775.527587890625,2775.527587890625,1e-05
23319.431640625,23319.4296875,2784.42626953125,2784.42626953125,1e-05
25740.294921875,25740.294921875,2801.888427734375,2801.888427734375,1e-05
26040.591796875,26040.591796875,2808.665283203125,2808.665283203125,1e-05
27338.771484375,27338.771484375,2808.494873046875,2808.494873046875,1e-05
28390.8125,28390.810546875,2776.927978515625,2776.927978515625,1e-05
24661.037109375,24661.037109375,2742.93408203125,2742.93408203125,1e-05
25228.234375,25228.234375,2747.795654296875,2747.795654296875,1e-05
25449.59375,25449.595703125,2756.7822265625,2756.7822265625,1e-05
26887.353515625,26887.353515625,2754.910400390625,2754.910400390625,1e-05
24537.5625,24537.5625,2747.5478515625,2747.5478515625,1e-05
26442.701171875,26442.701171875,2761.825439453125,2761.825439453125,1e-05
24033.52734375,24033.52734375,2777.363037109375,2777.363037109375,1e-05
22030.46484375,22030.46484375,2766.71875,2766.71875,1e-05
25044.662109375,25044.662109375,2770.773681640625,2770.773681640625,1e-05
25025.681640625,25025.681640625,2775.80908203125,2775.80908203125,1e-05
25500.134765625,25500.134765625,2772.35791015625,2772.35791015625,1e-05
24570.21875,24570.21875,2782.4873046875,2782.4873046875,1e-05
25368.8515625,25368.8515625,2775.625244140625,2775.625244140625,1e-05
26242.791015625,26242.791015625,2777.32373046875,2777.32373046875,1e-05
26109.50390625,26109.50390625,2781.423828125,2781.423828125,1e-05
27191.14453125,27191.14453125,2781.923583984375,2781.923583984375,1e-05
26450.72265625,26450.72265625,2782.224365234375,2782.224365234375,1e-05
25359.408203125,25359.41015625,2787.457275390625,2787.457275390625,1e-05
27543.03515625,27543.037109375,2786.21533203125,2786.21533203125,1e-05
25946.568359375,25946.568359375,2797.090576171875,2797.090576171875,1e-05
27135.50390625,27135.50390625,2797.064208984375,2797.064208984375,1e-05
26572.47265625,26572.47265625,2790.573486328125,2790.573486328125,1e-05
25137.771484375,25137.771484375,2802.103515625,2802.103515625,1e-05
5125.2392578125,5125.2392578125,2782.57763671875,2782.57763671875,1e-05
24162.642578125,24162.642578125,2788.268310546875,2788.268310546875,1e-05
27277.9765625,27277.978515625,2786.052001953125,2786.052001953125,1e-05
24032.708984375,24032.70703125,2775.140380859375,2775.140380859375,1e-05
23785.169921875,23785.169921875,2783.139404296875,2783.139404296875,1e-05
25387.310546875,25387.310546875,2797.412841796875,2797.412841796875,1e-05
25316.572265625,25316.57421875,2805.634033203125,2805.634033203125,1e-05
24383.791015625,24383.791015625,2824.714599609375,2824.714599609375,1e-05
25465.9921875,25465.99609375,2832.3447265625,2832.3447265625,1e-05
26838.853515625,26838.853515625,2834.636962890625,2834.636962890625,1e-05
5344.29296875,5344.29296875,2801.1650390625,2801.1650390625,1e-05
20631.75,20631.75,2788.28759765625,2788.28759765625,1e-05
4905.17041015625,4905.17041015625,2761.326416015625,2761.326416015625,1e-05
5174.3701171875,5174.3701171875,2724.939208984375,2724.939208984375,1e-05
24547.41015625,24547.41015625,2731.23486328125,2731.23486328125,1e-05
27715.8125,27715.8125,2733.670654296875,2733.670654296875,1e-05
25319.97265625,25319.974609375,2737.64404296875,2737.64404296875,1e-05
26493.29296875,26493.294921875,2748.6416015625,2748.6416015625,1e-05
27364.2265625,27364.224609375,2751.167236328125,2751.167236328125,1e-05
