loss,mse,val_loss,val_mse,lr
10.853055953979492,10.853055953979492,17.80962371826172,17.80962371826172,0.001
10.770901679992676,10.770902633666992,16.172460556030273,16.172460556030273,0.001
10.374202728271484,10.374202728271484,15.087569236755371,15.087569236755371,0.001
10.553423881530762,10.553423881530762,13.226221084594727,13.226221084594727,0.001
10.557792663574219,10.557792663574219,11.678690910339355,11.678690910339355,0.001
10.207284927368164,10.207284927368164,12.25302505493164,12.25302505493164,0.001
9.282233238220215,9.282233238220215,7.894314289093018,7.894314289093018,0.001
8.160272598266602,8.160272598266602,4.837995529174805,4.837995529174805,0.001
10.938682556152344,10.938682556152344,6.08285665512085,6.08285665512085,0.001
7.209630489349365,7.209630489349365,2.765770196914673,2.765770196914673,0.001
9.913993835449219,9.913993835449219,2.1251466274261475,2.1251466274261475,0.001
11.051259994506836,11.051259994506836,1.6452572345733643,1.6452572345733643,0.001
10.239416122436523,10.239416122436523,4.066326141357422,4.066326141357422,0.001
6.173372745513916,6.173372745513916,2.312166929244995,2.312166929244995,0.001
4.747403144836426,4.747403144836426,1.9167280197143555,1.9167280197143555,0.001
3.4407572746276855,3.4407572746276855,1.0176141262054443,1.0176141262054443,0.0005
6.540524482727051,6.540524482727051,0.6912345886230469,0.6912345886230469,0.0005
4.855438709259033,4.855438709259033,1.7830073833465576,1.7830073833465576,0.0005
5.795335292816162,5.795335292816162,1.0178918838500977,1.0178918838500977,0.0005
5.866759777069092,5.866759777069092,0.6638118624687195,0.6638118624687195,0.0005
4.928166389465332,4.928166389465332,2.2265565395355225,2.2265565395355225,0.0005
8.581990242004395,8.581990242004395,0.38304081559181213,0.38304081559181213,0.0005
5.389412879943848,5.389412879943848,0.6304008960723877,0.6304008960723877,0.0005
6.813206195831299,6.813206672668457,1.3012279272079468,1.3012279272079468,0.0005
5.214414119720459,5.214414119720459,0.46255508065223694,0.46255508065223694,0.0005
6.172363758087158,6.172363758087158,0.8293296694755554,0.8293296694755554,0.00025
6.699493885040283,6.699493885040283,0.80311518907547,0.80311518907547,0.00025
4.906571388244629,4.906571388244629,0.25292718410491943,0.25292718410491943,0.00025
4.520607948303223,4.520607948303223,0.9145726561546326,0.9145726561546326,0.00025
2.3015472888946533,2.3015472888946533,0.8198838233947754,0.8198838233947754,0.00025
6.324498653411865,6.324498653411865,2.3339288234710693,2.3339288234710693,0.00025
5.323427677154541,5.323427200317383,2.9274284839630127,2.9274284839630127,0.000125
5.629103660583496,5.629103660583496,4.0496745109558105,4.0496745109558105,0.000125
5.911142826080322,5.911142826080322,2.4751834869384766,2.4751834869384766,0.000125
10.676042556762695,10.676042556762695,2.07387113571167,2.07387113571167,6.25e-05
6.24482536315918,6.24482536315918,2.1146695613861084,2.1146695613861084,6.25e-05
7.21646785736084,7.21646785736084,1.7022244930267334,1.7022244930267334,6.25e-05
5.287242889404297,5.287242889404297,1.9638643264770508,1.9638643264770508,3.125e-05
1.9970413446426392,1.9970413446426392,1.8236953020095825,1.8236953020095825,3.125e-05
2.9046809673309326,2.904681444168091,1.5814632177352905,1.5814632177352905,3.125e-05
1.8800827264785767,1.8800827264785767,1.6581156253814697,1.6581156253814697,1.5625e-05
3.493785858154297,3.493785858154297,1.7346287965774536,1.7346287965774536,1.5625e-05
1.7250137329101562,1.7250137329101562,1.8093684911727905,1.8093684911727905,1.5625e-05
3.413555383682251,3.413555383682251,1.9343338012695312,1.9343338012695312,1e-05
0.9382837414741516,0.9382837414741516,1.8154730796813965,1.8154730796813965,1e-05
5.672036647796631,5.672036647796631,1.8930059671401978,1.8930059671401978,1e-05
5.470775127410889,5.470775127410889,1.8707164525985718,1.8707164525985718,1e-05
3.128016233444214,3.128016233444214,1.8600196838378906,1.8600196838378906,1e-05
3.14011812210083,3.14011812210083,1.9675019979476929,1.9675019979476929,1e-05
2.7009639739990234,2.7009639739990234,2.0455503463745117,2.0455503463745117,1e-05
0.7822911739349365,0.7822911739349365,2.1714954376220703,2.1714954376220703,1e-05
1.04439377784729,1.04439377784729,2.091970205307007,2.091970205307007,1e-05
2.2720677852630615,2.2720677852630615,2.174466848373413,2.174466848373413,1e-05
2.6735944747924805,2.6735944747924805,2.0828590393066406,2.0828590393066406,1e-05
5.241776466369629,5.241776466369629,2.189664840698242,2.189664840698242,1e-05
1.4445531368255615,1.4445531368255615,2.277899980545044,2.277899980545044,1e-05
4.494166851043701,4.494166851043701,2.3223657608032227,2.3223657608032227,1e-05
5.204820156097412,5.204820156097412,2.264235019683838,2.264235019683838,1e-05
2.8825953006744385,2.8825953006744385,2.262497663497925,2.262497663497925,1e-05
2.85016131401062,2.85016131401062,2.4687554836273193,2.4687554836273193,1e-05
4.671335697174072,4.671335220336914,2.6125049591064453,2.6125049591064453,1e-05
3.9213528633117676,3.9213528633117676,2.599360466003418,2.599360466003418,1e-05
2.3058042526245117,2.3058042526245117,2.809591293334961,2.809591293334961,1e-05
2.369234800338745,2.369234800338745,2.7825937271118164,2.7825937271118164,1e-05
4.256581783294678,4.256581783294678,2.9146347045898438,2.9146347045898438,1e-05
5.17495059967041,5.17495059967041,2.9601614475250244,2.9601614475250244,1e-05
2.827932357788086,2.827932596206665,2.9340078830718994,2.9340078830718994,1e-05
4.7473649978637695,4.7473649978637695,3.004838705062866,3.004838705062866,1e-05
4.105677127838135,4.105677127838135,2.9801266193389893,2.9801266193389893,1e-05
3.3858821392059326,3.3858821392059326,2.944077253341675,2.944077253341675,1e-05
3.6730618476867676,3.6730618476867676,3.0661444664001465,3.0661444664001465,1e-05
