loss,mse,val_loss,val_mse,lr
21594.16015625,21594.16015625,23549.453125,23549.453125,0.001
19618.4921875,19618.4921875,21661.708984375,21661.708984375,0.001
19571.677734375,19571.677734375,20520.201171875,20520.201171875,0.001
19655.517578125,19655.517578125,19233.427734375,19233.427734375,0.001
14980.416015625,14980.416015625,16900.75,16900.75,0.001
16258.265625,16258.265625,19356.21484375,19356.21484375,0.001
16584.34765625,16584.34765625,13653.1552734375,13653.1552734375,0.001
15175.09375,15175.09375,12796.1923828125,12796.1923828125,0.001
13291.3525390625,13291.3525390625,23744.1171875,23744.1171875,0.001
14546.05859375,14546.05859375,17172.39453125,17172.39453125,0.001
11404.9365234375,11404.9365234375,24823.611328125,24823.611328125,0.001
10120.4140625,10120.4140625,9299.12890625,9299.12890625,0.0005
11862.2314453125,11862.2314453125,10891.1015625,10891.1015625,0.0005
9124.4228515625,9124.4228515625,23549.67578125,23549.67578125,0.0005
12384.9560546875,12384.9560546875,14473.6787109375,14473.6787109375,0.0005
9259.669921875,9259.6689453125,17189.544921875,17189.544921875,0.00025
8817.4140625,8817.4140625,16932.646484375,16932.646484375,0.00025
9184.912109375,9184.912109375,12221.5634765625,12221.5634765625,0.00025
7126.09423828125,7126.09423828125,15843.2041015625,15843.2041015625,0.000125
7206.76708984375,7206.76708984375,20891.4453125,20891.4453125,0.000125
6086.06689453125,6086.06689453125,16995.12890625,16995.12890625,0.000125
6716.22509765625,6716.22509765625,18577.111328125,18577.111328125,6.25e-05
7465.60205078125,7465.60205078125,18541.458984375,18541.458984375,6.25e-05
6274.103515625,6274.103515625,24500.529296875,24500.529296875,6.25e-05
5706.86279296875,5706.86279296875,24096.279296875,24096.279296875,3.125e-05
5629.42724609375,5629.427734375,20671.396484375,20671.396484375,3.125e-05
8677.3349609375,8677.3349609375,20395.9296875,20395.9296875,3.125e-05
6561.7900390625,6561.7900390625,20121.9453125,20121.9453125,1.5625e-05
7317.576171875,7317.576171875,20345.11328125,20345.11328125,1.5625e-05
10533.9248046875,10533.9248046875,21092.189453125,21092.189453125,1.5625e-05
7238.31689453125,7238.31689453125,20277.986328125,20277.986328125,1e-05
9227.0068359375,9227.0068359375,19783.220703125,19783.220703125,1e-05
8882.052734375,8882.052734375,19809.822265625,19809.822265625,1e-05
4358.66845703125,4358.66845703125,20026.8203125,20026.8203125,1e-05
7102.18896484375,7102.18896484375,19627.8515625,19627.8515625,1e-05
10256.923828125,10256.923828125,19416.525390625,19416.525390625,1e-05
8056.10009765625,8056.10009765625,19217.91015625,19217.91015625,1e-05
6156.068359375,6156.068359375,19253.46484375,19253.46484375,1e-05
9048.0869140625,9048.0869140625,19035.740234375,19035.740234375,1e-05
3739.028564453125,3739.028564453125,18739.421875,18739.421875,1e-05
6286.78564453125,6286.78564453125,18190.107421875,18190.107421875,1e-05
8112.7431640625,8112.7431640625,18166.064453125,18166.064453125,1e-05
4914.04345703125,4914.04345703125,19035.408203125,19035.408203125,1e-05
7047.81103515625,7047.810546875,19332.6796875,19332.6796875,1e-05
6654.375,6654.375,19218.43359375,19218.43359375,1e-05
6832.9921875,6832.9921875,18278.62890625,18278.62890625,1e-05
6166.0,6166.0,18017.583984375,18017.583984375,1e-05
6938.373046875,6938.373046875,18272.361328125,18272.361328125,1e-05
7177.173828125,7177.173828125,17945.275390625,17945.275390625,1e-05
6712.029296875,6712.029296875,17418.61328125,17418.61328125,1e-05
7391.103515625,7391.103515625,17623.1484375,17623.1484375,1e-05
12680.9169921875,12680.9169921875,17901.25,17901.25,1e-05
6852.1279296875,6852.1279296875,17948.34765625,17948.34765625,1e-05
7853.53076171875,7853.53076171875,18399.91015625,18399.91015625,1e-05
7056.06298828125,7056.06298828125,17523.421875,17523.421875,1e-05
7764.16943359375,7764.16943359375,17341.4140625,17341.4140625,1e-05
6047.953125,6047.953125,17572.3046875,17572.3046875,1e-05
5513.6689453125,5513.6689453125,16926.55859375,16926.55859375,1e-05
6135.5673828125,6135.5673828125,16984.71875,16984.71875,1e-05
10170.748046875,10170.748046875,17532.845703125,17532.845703125,1e-05
6426.35009765625,6426.35009765625,17478.111328125,17478.111328125,1e-05
3445.838134765625,3445.838134765625,17273.828125,17273.828125,1e-05
7754.20654296875,7754.20654296875,17123.6875,17123.6875,1e-05
7230.9931640625,7230.9931640625,16301.4560546875,16301.4560546875,1e-05
8839.1982421875,8839.1982421875,16322.0087890625,16322.0087890625,1e-05
9319.1376953125,9319.1376953125,16815.392578125,16815.392578125,1e-05
6560.29296875,6560.29296875,16584.025390625,16584.025390625,1e-05
6942.4765625,6942.4765625,17183.974609375,17183.974609375,1e-05
6410.3310546875,6410.3310546875,16846.673828125,16846.673828125,1e-05
7633.896484375,7633.896484375,17763.744140625,17763.744140625,1e-05
8371.5244140625,8371.5244140625,17440.02734375,17440.02734375,1e-05
8841.224609375,8841.224609375,17337.37890625,17337.37890625,1e-05
6096.7421875,6096.7421875,16718.611328125,16718.611328125,1e-05
8161.5986328125,8161.5986328125,17267.095703125,17267.095703125,1e-05
6547.001953125,6547.001953125,17290.552734375,17290.552734375,1e-05
7770.826171875,7770.826171875,17734.775390625,17734.775390625,1e-05
4806.498046875,4806.498046875,17917.587890625,17917.587890625,1e-05
9096.29296875,9096.29296875,18523.34375,18523.34375,1e-05
7982.12939453125,7982.12939453125,18682.2421875,18682.2421875,1e-05
6241.50537109375,6241.50537109375,18850.017578125,18850.017578125,1e-05
7404.1357421875,7404.1357421875,18846.67578125,18846.67578125,1e-05
